opt_rank,opt_img,opt_name,opt_minNum,opt_maxNum,opt_age,opt_time,opt_genre,opt_tag1,opt_tag2,opt_tag3
1,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/29/3000278460/ef7b8ddb-caa3-47d7-bd60-e789e3d073a4.jpg,할리갈리,2,6,6,20,가족,파티,순발력,카드
2,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a3a3/f9ab21e156cb59efab0fb96523424b53ef49c1d6fbcb6b1cf9b1105979ca.jpg,루미큐브 클래식,2,4,8,60,전략,숫자,클래식,타일
3,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/29/3000165024/cdf9f3e9-eb15-4fd9-8555-6493c80713b9.jpg,다빈치 코드,2,4,8,15,전략,숫자,타일,심리전
4,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/12/07/3000178688/2e2722c4-e518-4643-9a68-9872698f7051.jpg,루핑루이,2,4,5,10,전략,어린이,완구,조작
5,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/28/3007143232/f8a95f93-4a4d-4411-8183-614dbd7e09ca.jpg,스플렌더,2,4,10,30,전략,카드,점수내기,토큰
6,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/04/02/21/3/c26c8e47-01ca-4587-9a05-69cf46ae50d1.jpg,폴짝폴짝 개구리 사탕먹기,2,4,8,10,가족,조작,완구,어린이
7,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/5bon53ev/a0c5bb9cc62e40389cf5b9803d9002d9.png,도블,2,8,6,15,가족,카드,순발력,그림
8,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/03/28/3000153208/53a805f7-c58d-4ebf-b53b-6d3ba8ba47d4.jpg,우노,2,10,7,20,카드,카드,숫자,인기
9,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/29/3010282032/f305b43d-98c1-4742-9be1-6c5de8afab85.jpg,우봉고,1,4,8,30,퍼즐,퍼즐,순발력,사고력
10,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/114046227012224-8d2c589e-d136-41f8-aa47-cddf58a21097.jpg,씽크펀 러시아워 교통정리 퍼즐 게임,1,1,8,20,퍼즐,완구,퍼즐,사고력
11,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/30/3148459906/f807535f-9300-47ba-ba99-afbc7743eecb.jpg,달무티,4,8,8,15,가족,파티,카드,심리전
12,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/cd68/75d7f4ecddd210fa41d236977fe074086a3e625eca91bd121b3a7027b89e.jpg,모두의 마블 ,2,4,8,10,전략,주사위,부루마블,점수내기
13,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/30/3444295262/a88248ef-1a8d-4ddf-a8dd-d039d16bbf43.jpg,상어 아일랜드,2,4,6,20,가족,주사위,완구,어린이
14,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/03/06/3000165084/fb9e0616-d0a8-458d-9144-532946642768.jpg,스머프 사다리게임,2,5,5,20,전략,주사위,피스,사다리
15,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3231/542b6a6204a5ca179b97710b478df1e4e608ebafaff3a927cf81b4c91102.jpg,애들랜드 당근질주 토끼운동회,2,4,4,30,가족,완구,카드,어린이
16,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/28/3013990908/970e5288-660b-46a1-ab53-23947c07c8b5.jpg,징고,2,6,4,30,가족,완구,타일,그림
17,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/02/26/3000165036/34dd1f54-c0cb-4f2a-a566-88bcb3a957da.jpg,뱅,4,7,8,45,전략,카드,심리전,역할극
18,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/29/3031292704/b24bc107-65cf-4c3c-ac2e-eda34d889894.jpg,해적 통 아저씨,1,4,3,15,가족,완구,조작,파티
19,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/12/21/3756803498/515f8f91-cda9-457d-ba6a-d8c581ef98f3.jpg,젠가,1,8,6,20,가족,파티,조작,클래식
